iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,606.0,249.0,519.0,192.0,368.0,119.0,434.0,438.0,759.0,311.0,722.0,761.0,603.0,81.0,6081.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,561.0,207.0,154.0,168.0,564.0,572.0,253.0,527.0,261.0,280.0,542.0,394.0,121.0,75.0,4604.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,685.0,560.0,526.0,526.0,572.0,414.0,260.0,344.0,494.0,347.0,304.0,778.0,435.0,70.0,6245.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,749.0,586.0,320.0,369.0,597.0,437.0,397.0,540.0,309.0,521.0,422.0,622.0,437.0,73.0,6306.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,521.0,552.0,644.0,544.0,634.0,681.0,203.0,292.0,370.0,756.0,118.0,637.0,337.0,61.0,6289.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,553.0,241.0,118.0,205.0,775.0,696.0,446.0,603.0,114.0,639.0,503.0,382.0,649.0,69.0,5924.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,570.0,429.0,257.0,430.0,688.0,663.0,514.0,575.0,623.0,759.0,759.0,159.0,625.0,64.0,7051.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,113.0,746.0,554.0,415.0,718.0,779.0,716.0,672.0,749.0,359.0,368.0,266.0,758.0,66.0,7213.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,768.0,673.0,778.0,107.0,409.0,230.0,159.0,752.0,686.0,535.0,106.0,758.0,479.0,69.0,6440.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,154.0,229.0,569.0,214.0,202.0,450.0,126.0,244.0,453.0,584.0,268.0,631.0,451.0,75.0,4575.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,344.0,107.0,273.0,620.0,240.0,291.0,692.0,675.0,197.0,631.0,469.0,654.0,741.0,66.0,5934.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,617.0,405.0,618.0,449.0,467.0,612.0,766.0,497.0,149.0,256.0,340.0,137.0,695.0,79.0,6008.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,158.0,544.0,388.0,270.0,500.0,182.0,436.0,190.0,139.0,251.0,363.0,641.0,162.0,75.0,4224.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,633.0,699.0,219.0,424.0,183.0,422.0,550.0,543.0,579.0,118.0,524.0,108.0,568.0,83.0,5570.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,486.0,200.0,597.0,151.0,257.0,785.0,782.0,469.0,503.0,787.0,740.0,277.0,758.0,80.0,6792.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,587.0,415.0,207.0,627.0,113.0,378.0,698.0,166.0,424.0,564.0,640.0,149.0,615.0,74.0,5583.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,325.0,382.0,430.0,610.0,116.0,301.0,345.0,217.0,655.0,718.0,676.0,339.0,539.0,80.0,5653.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,508.0,257.0,356.0,551.0,431.0,508.0,750.0,227.0,679.0,731.0,625.0,409.0,189.0,86.0,6221.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,479.0,468.0,380.0,518.0,262.0,174.0,307.0,200.0,439.0,496.0,703.0,154.0,362.0,79.0,4942.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,278.0,173.0,480.0,530.0,792.0,224.0,676.0,275.0,670.0,317.0,609.0,297.0,262.0,79.0,5583.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,506.0,306.0,136.0,229.0,742.0,475.0,117.0,732.0,737.0,243.0,133.0,270.0,219.0,67.0,4845.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,674.0,684.0,225.0,141.0,167.0,433.0,665.0,650.0,224.0,383.0,255.0,324.0,745.0,65.0,5570.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,104.0,642.0,336.0,766.0,674.0,561.0,637.0,175.0,515.0,103.0,595.0,681.0,519.0,85.0,6308.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,646.0,681.0,654.0,788.0,133.0,105.0,327.0,398.0,783.0,475.0,779.0,378.0,678.0,78.0,6825.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,765.0,269.0,471.0,350.0,709.0,636.0,193.0,743.0,786.0,345.0,530.0,699.0,302.0,62.0,6798.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,254.0,299.0,312.0,104.0,356.0,335.0,729.0,624.0,107.0,687.0,483.0,522.0,292.0,68.0,5104.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,541.0,613.0,376.0,359.0,529.0,478.0,407.0,114.0,650.0,424.0,477.0,433.0,735.0,73.0,6136.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
0,242.0,629.0,534.0,467.0,319.0,790.0,394.0,130.0,409.0,777.0,295.0,793.0,657.0,60.0,6436.0,0.0,0.0,0.0,0.0,0.0,0.0,88397.0
