iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,ParetoFamily,Pareto_f1,Pareto_f2
4,168.0,27.0,155.0,43.0,91.0,98.0,59.0,76.0,160.0,76.0,111.0,46.0,117.0,0.0,0.573839433462977,-2.912633157305531
5,30.0,62.0,70.0,102.0,94.0,149.0,133.0,135.0,61.0,52.0,131.0,112.0,120.0,0.0,-3.6109887182374067,1.2516453205212335
5,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,118.0,148.0,172.0,154.0,0.0,-3.2525451492059374,-0.3359604609489999
5,44.0,85.0,35.0,58.0,32.0,95.0,16.0,45.0,85.0,175.0,25.0,178.0,145.0,0.0,-2.3293263482566036,-0.7067155215220737
5,148.0,31.0,50.0,16.0,165.0,50.0,77.0,141.0,105.0,97.0,26.0,149.0,51.0,0.0,-2.2630022669025784,-0.9673664717459753
5,44.0,138.0,115.0,99.0,63.0,178.0,81.0,17.0,85.0,175.0,57.0,178.0,145.0,0.0,-2.14887680910495,-1.4151079072667856
5,145.0,39.0,54.0,124.0,101.0,109.0,168.0,41.0,140.0,148.0,137.0,85.0,32.0,0.0,-1.9594244817019741,-1.4807773788826277
5,30.0,122.0,113.0,113.0,125.0,86.0,131.0,132.0,108.0,167.0,132.0,108.0,129.0,0.0,-1.8091876592776412,-1.7758994835684614
5,41.0,53.0,11.0,180.0,107.0,30.0,92.0,32.0,116.0,118.0,148.0,172.0,154.0,0.0,-1.624885249517203,-2.09073002187938
5,102.0,141.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.0,-1.3476982095246044,-2.1654249187708756
5,163.0,65.0,139.0,141.0,78.0,146.0,166.0,137.0,160.0,136.0,15.0,129.0,43.0,0.0,-1.1462890591969004,-2.1711872675387367
5,37.0,34.0,142.0,118.0,140.0,151.0,35.0,57.0,75.0,169.0,14.0,140.0,68.0,0.0,-0.8573436231490787,-2.2679915428430095
5,131.0,85.0,28.0,58.0,32.0,95.0,16.0,161.0,34.0,107.0,123.0,116.0,105.0,0.0,-0.807557047825039,-3.2385435390067356
6,28.0,25.0,157.0,28.0,164.0,17.0,164.0,63.0,25.0,27.0,79.0,108.0,129.0,0.0,-3.3770622125588954,0.10401562604132125
6,96.0,73.0,109.0,35.0,24.0,44.0,28.0,89.0,92.0,139.0,100.0,145.0,61.0,0.0,-2.852852629447686,-0.5794747130489457
6,30.0,60.0,74.0,102.0,94.0,86.0,141.0,132.0,108.0,167.0,142.0,108.0,129.0,0.0,-2.5448603433544505,-1.8892631437058058
6,154.0,33.0,158.0,159.0,95.0,171.0,136.0,14.0,41.0,92.0,13.0,158.0,161.0,0.0,-2.2105232294944375,-2.067005459696977
6,32.0,141.0,70.0,63.0,146.0,73.0,136.0,91.0,135.0,56.0,151.0,144.0,165.0,0.0,-2.132675767748742,-2.7355791717075677
6,154.0,33.0,158.0,159.0,64.0,130.0,124.0,80.0,180.0,103.0,124.0,60.0,115.0,0.0,0.2774278781029512,-2.7939873044615964
7,19.0,142.0,67.0,138.0,149.0,122.0,140.0,25.0,115.0,90.0,109.0,87.0,154.0,0.0,-3.216009167460932,-0.07889349718879746
7,78.0,122.0,95.0,114.0,32.0,164.0,18.0,86.0,26.0,118.0,148.0,172.0,154.0,0.0,-2.3994364823707195,-1.3961986248725908
7,70.0,22.0,160.0,50.0,111.0,153.0,56.0,137.0,12.0,153.0,103.0,112.0,57.0,0.0,-1.9781022782318474,-2.5053751180289505
7,35.0,93.0,95.0,121.0,32.0,164.0,11.0,86.0,26.0,118.0,154.0,172.0,154.0,0.0,-1.72015471132025,-2.677413054911532
7,43.0,85.0,35.0,48.0,149.0,156.0,19.0,49.0,102.0,107.0,131.0,116.0,105.0,0.0,-0.5799783275491708,-2.68359870873046
7,13.0,167.0,120.0,61.0,111.0,147.0,56.0,137.0,12.0,153.0,98.0,112.0,59.0,0.0,-0.29173091560825276,-2.7183283507493985
7,100.0,122.0,69.0,47.0,125.0,162.0,163.0,137.0,12.0,153.0,103.0,112.0,57.0,0.0,0.2217884607357531,-2.8235128486700027
7,21.0,58.0,61.0,11.0,72.0,67.0,115.0,52.0,78.0,118.0,148.0,172.0,165.0,0.0,0.5238118340191699,-2.963286512042184
7,30.0,122.0,113.0,105.0,125.0,163.0,163.0,137.0,12.0,153.0,103.0,101.0,12.0,0.0,0.5428517930754108,-3.0613804174385915
7,69.0,12.0,52.0,136.0,44.0,56.0,154.0,150.0,34.0,139.0,100.0,145.0,166.0,0.0,1.19501264593384,-3.1461794557578338
8,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,153.0,103.0,112.0,57.0,0.0,-2.535466094287367,-0.6929797489458753
8,141.0,39.0,54.0,124.0,101.0,95.0,16.0,45.0,13.0,18.0,166.0,85.0,39.0,0.0,-2.1123997572555004,-1.4618668415283815
8,54.0,28.0,124.0,38.0,180.0,47.0,18.0,86.0,40.0,150.0,96.0,16.0,115.0,0.0,-1.9827569842583768,-2.728246962178104
8,141.0,39.0,54.0,124.0,101.0,133.0,122.0,80.0,180.0,103.0,124.0,60.0,87.0,0.0,0.47395294677359817,-2.9576133161274596
9,13.0,167.0,120.0,61.0,111.0,147.0,56.0,137.0,12.0,92.0,13.0,78.0,108.0,0.0,-3.2128747555594273,0.7873067110367106
9,122.0,156.0,142.0,118.0,140.0,151.0,35.0,57.0,75.0,169.0,29.0,72.0,87.0,0.0,-2.6836874818587964,0.08797399278930934
9,73.0,163.0,25.0,106.0,15.0,106.0,174.0,139.0,36.0,162.0,21.0,104.0,28.0,0.0,-2.4122551558405303,-0.9418603937044578
9,122.0,107.0,106.0,60.0,55.0,84.0,63.0,12.0,11.0,133.0,174.0,76.0,108.0,0.0,-2.395650983536195,-1.3487679822239496
9,102.0,99.0,78.0,22.0,48.0,176.0,176.0,100.0,108.0,177.0,89.0,123.0,49.0,0.0,-2.2059009223537895,-2.1902280041469586
9,73.0,163.0,25.0,106.0,15.0,106.0,174.0,139.0,36.0,162.0,21.0,105.0,28.0,0.0,-1.8348451756369784,-2.2562167736407153
9,112.0,116.0,142.0,118.0,140.0,53.0,62.0,134.0,160.0,142.0,82.0,157.0,83.0,0.0,-1.7423614077008613,-2.5014085407235696
