iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,112.0,120.0,142.0,118.0,140.0,151.0,35.0,57.0,75.0,169.0,14.0,140.0,68.0,5954.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,120.0,44.0,14.0,36.0,174.0,155.0,94.0,132.0,13.0,141.0,108.0,79.0,143.0,6624.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,124.0,90.0,48.0,90.0,153.0,147.0,111.0,125.0,137.0,170.0,170.0,24.0,137.0,5471.0,1526.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,13.0,167.0,120.0,87.0,160.0,175.0,160.0,149.0,168.0,73.0,75.0,50.0,170.0,5422.0,1567.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,172.0,149.0,175.0,12.0,85.0,42.0,24.0,168.0,152.0,116.0,11.0,170.0,102.0,6625.0,1378.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,23.0,41.0,124.0,38.0,35.0,95.0,16.0,45.0,96.0,128.0,51.0,139.0,95.0,8264.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,69.0,12.0,52.0,136.0,44.0,56.0,154.0,150.0,34.0,139.0,100.0,145.0,166.0,6333.0,1257.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,135.0,84.0,136.0,95.0,99.0,134.0,172.0,106.0,22.0,48.0,68.0,19.0,155.0,6616.0,1273.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,8008.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,140.0,155.0,39.0,89.0,30.0,88.0,119.0,117.0,126.0,14.0,113.0,12.0,124.0,7015.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,104.0,34.0,131.0,22.0,48.0,176.0,176.0,100.0,108.0,177.0,165.0,53.0,170.0,5590.0,1464.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,128.0,87.0,36.0,138.0,13.0,78.0,155.0,26.0,89.0,123.0,141.0,22.0,135.0,6722.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,65.0,78.0,90.0,134.0,14.0,59.0,69.0,38.0,145.0,160.0,150.0,68.0,117.0,6917.0,1187.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,6006.0,1325.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,102.0,99.0,78.0,111.0,49.0,28.0,60.0,34.0,92.0,106.0,156.0,23.0,74.0,7887.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,53.0,28.0,102.0,114.0,178.0,40.0,150.0,53.0,148.0,63.0,134.0,58.0,49.0,6756.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
